cluster,id_dep,departamento,id_region,region,fuente_gps,cluster_urb_rur,lat,lon,alt_gps,alt_dem
1277,68,santander,2,oriental,GAZ,U,6.30855301529,-73.84675193440,42.00000000000,1123.00000000000
1263,68,santander,2,oriental,GAZ,U,6.95536646112,-73.02379285660,17.00000000000,1095.00000000000
1607,25,cundinamarca,2,oriental,GPS,R,4.43711605752,-74.54261572250,1506.00000000000,430.00000000000
1316,68,santander,2,oriental,GAZ,R,6.29594553962,-73.85586736720,53.00000000000,1123.00000000000
1260,68,santander,2,oriental,GAZ,U,6.95380762316,-73.02926250970,31.00000000000,1095.00000000000
1712,50,meta,2,oriental,GPS,U,4.29722521954,-73.61434241360,424.00000000000,1485.00000000000
1261,68,santander,2,oriental,GAZ,U,6.95054769574,-73.02447518230,39.00000000000,1095.00000000000
1266,68,santander,2,oriental,GAZ,U,6.95208782093,-73.02951044090,44.00000000000,1095.00000000000
1276,68,santander,2,oriental,GAZ,U,6.30833390148,-73.84883678170,82.00000000000,1123.00000000000
1267,68,santander,2,oriental,GAZ,U,6.94015587712,-73.03299901390,61.00000000000,1095.00000000000
1268,68,santander,2,oriental,GAZ,U,6.95624183753,-73.02312710960,67.00000000000,1095.00000000000
1262,68,santander,2,oriental,GAZ,U,6.97019579344,-73.01682583940,83.00000000000,1095.00000000000
3148,76,valle,4,pacifica,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
1815,5,antioquia,3,central,GPS,U,6.27005459652,-75.52142248440,1501.00000000000,2489.00000000000
904,23,cordoba,1,atlantica,GAZ,U,8.59092236027,-75.94347870980,1079.00000000000,109.00000000000
994,23,cordoba,1,atlantica,GAZ,R,9.32381447834,-75.98889777720,956.00000000000,4.00000000000
1204,68,santander,2,oriental,GAZ,U,7.13486419678,-73.14141976540,14.00000000000,940.00000000000
1198,68,santander,2,oriental,GAZ,U,7.14012173327,-73.13028107920,15.00000000000,940.00000000000
984,23,cordoba,1,atlantica,GAZ,R,9.14217506065,-75.51028795290,1011.00000000000,88.00000000000
985,23,cordoba,1,atlantica,GAZ,R,9.11992902213,-75.52772270740,1011.00000000000,88.00000000000
1196,68,santander,2,oriental,GAZ,U,7.14318068111,-73.12751107180,17.00000000000,940.00000000000
1205,68,santander,2,oriental,GAZ,U,7.15230667861,-73.12840861790,17.00000000000,940.00000000000
1201,68,santander,2,oriental,GAZ,U,7.13135302001,-73.14114344380,18.00000000000,940.00000000000
1206,68,santander,2,oriental,GAZ,U,7.14268209317,-73.13249425410,18.00000000000,940.00000000000
1211,68,santander,2,oriental,GAZ,U,7.13597340117,-73.14033444490,19.00000000000,940.00000000000
936,23,cordoba,1,atlantica,GAZ,U,8.99776334058,-75.37473503280,1000.00000000000,80.00000000000
1202,68,santander,2,oriental,GAZ,U,7.14226795515,-73.11694150000,20.00000000000,940.00000000000
1217,68,santander,2,oriental,GAZ,U,7.07188506636,-73.08583055200,12.00000000000,932.00000000000
1209,68,santander,2,oriental,GAZ,U,7.14719909634,-73.12266803350,21.00000000000,940.00000000000
1212,68,santander,2,oriental,GAZ,U,7.12547626690,-73.14014347110,21.00000000000,940.00000000000
1224,68,santander,2,oriental,GAZ,U,7.07736629186,-73.08252862760,14.00000000000,932.00000000000
1193,68,santander,2,oriental,GAZ,U,7.14252439676,-73.13231291440,23.00000000000,940.00000000000
1199,68,santander,2,oriental,GAZ,U,7.12520449169,-73.13320667150,23.00000000000,940.00000000000
1195,68,santander,2,oriental,GAZ,U,7.14382196563,-73.13034211440,24.00000000000,940.00000000000
1215,68,santander,2,oriental,GAZ,U,7.07070939835,-73.07367721220,17.00000000000,932.00000000000
1200,68,santander,2,oriental,GAZ,U,7.12462678910,-73.13664749740,26.00000000000,940.00000000000
1207,68,santander,2,oriental,GAZ,U,7.13380113612,-73.13326163230,26.00000000000,940.00000000000
1208,68,santander,2,oriental,GAZ,U,7.13492984972,-73.13783336860,26.00000000000,940.00000000000
913,23,cordoba,1,atlantica,GAZ,U,8.88059185049,-75.82453641980,923.00000000000,10.00000000000
1210,68,santander,2,oriental,GAZ,U,7.13922211675,-73.13226769860,27.00000000000,940.00000000000
1213,68,santander,2,oriental,GAZ,U,7.12047393687,-73.13760777360,27.00000000000,940.00000000000
1226,68,santander,2,oriental,GAZ,U,7.05695217674,-73.09255236420,19.00000000000,932.00000000000
1197,68,santander,2,oriental,GAZ,U,7.13600047220,-73.14613948340,28.00000000000,940.00000000000
1216,68,santander,2,oriental,GAZ,U,7.04573957424,-73.08705890300,20.00000000000,932.00000000000
1203,68,santander,2,oriental,GAZ,U,7.12973419178,-73.14170434700,29.00000000000,940.00000000000
1214,68,santander,2,oriental,GAZ,U,7.04756016721,-73.08832222340,23.00000000000,932.00000000000
1192,68,santander,2,oriental,GAZ,U,7.14545327507,-73.12990790090,32.00000000000,940.00000000000
1225,68,santander,2,oriental,GAZ,U,7.07336354261,-73.07780773250,26.00000000000,932.00000000000
1227,68,santander,2,oriental,GAZ,U,7.06023338223,-73.08588225250,27.00000000000,932.00000000000
1218,68,santander,2,oriental,GAZ,U,7.05025708175,-73.08696915930,29.00000000000,932.00000000000
916,23,cordoba,1,atlantica,GAZ,U,8.87660352087,-75.83791651150,910.00000000000,10.00000000000
1219,68,santander,2,oriental,GAZ,U,7.07289969936,-73.08083651960,33.00000000000,932.00000000000
1186,68,santander,2,oriental,GAZ,U,7.14301253332,-73.12990900730,42.00000000000,940.00000000000
1231,68,santander,2,oriental,GAZ,U,7.05552772734,-73.09865134880,35.00000000000,932.00000000000
112,44,la guajira,1,atlantica,MIS,R,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
914,23,cordoba,1,atlantica,GAZ,U,8.88678145123,-75.82089477660,904.00000000000,10.00000000000
1180,68,santander,2,oriental,GAZ,U,7.13191760257,-73.13571435130,50.00000000000,940.00000000000
1194,68,santander,2,oriental,GAZ,U,7.14366769652,-73.12187015960,51.00000000000,940.00000000000
980,23,cordoba,1,atlantica,GAZ,R,8.97405795813,-75.37248896490,967.00000000000,80.00000000000
903,23,cordoba,1,atlantica,GAZ,U,8.57395255781,-75.96003782660,994.00000000000,109.00000000000
1181,68,santander,2,oriental,GAZ,U,7.12016919698,-73.13549792750,55.00000000000,940.00000000000
927,23,cordoba,1,atlantica,GAZ,U,8.18002648362,-75.44151163500,925.00000000000,43.00000000000
1191,68,santander,2,oriental,GAZ,U,7.14344055781,-73.12265590660,58.00000000000,940.00000000000
1190,68,santander,2,oriental,GAZ,U,7.12276939158,-73.13954853980,59.00000000000,940.00000000000
1179,68,santander,2,oriental,GAZ,U,7.14157364976,-73.12279458670,60.00000000000,940.00000000000
902,23,cordoba,1,atlantica,GAZ,U,8.58944961550,-75.94844104350,986.00000000000,109.00000000000
2797,73,tolima,3,central,GPS,R,3.82132973702,-75.33151618700,1338.00000000000,461.00000000000
881,23,cordoba,1,atlantica,GAZ,U,8.57792018049,-75.96323648270,985.00000000000,109.00000000000
1184,68,santander,2,oriental,GAZ,U,7.14887321889,-73.13006050180,64.00000000000,940.00000000000
889,23,cordoba,1,atlantica,GAZ,U,8.59605309820,-75.95440621140,983.00000000000,109.00000000000
1189,68,santander,2,oriental,GAZ,U,7.13832004467,-73.12165982220,66.00000000000,940.00000000000
1228,68,santander,2,oriental,GAZ,U,7.05339402641,-73.09106974450,59.00000000000,932.00000000000
1183,68,santander,2,oriental,GAZ,U,7.13331561075,-73.14148729640,69.00000000000,940.00000000000
937,23,cordoba,1,atlantica,GAZ,U,9.01459957498,-75.34589177890,947.00000000000,80.00000000000
1185,68,santander,2,oriental,GAZ,U,7.14703257573,-73.12835587350,73.00000000000,940.00000000000
1234,68,santander,2,oriental,GAZ,U,7.06248822082,-73.09018613030,65.00000000000,932.00000000000
1223,68,santander,2,oriental,GAZ,U,7.04952400736,-73.09619418240,66.00000000000,932.00000000000
901,23,cordoba,1,atlantica,GAZ,U,8.58327810499,-75.96442674460,974.00000000000,109.00000000000
979,23,cordoba,1,atlantica,GAZ,R,8.70609213174,-75.65094135400,971.00000000000,106.00000000000
1188,68,santander,2,oriental,GAZ,U,7.13164572645,-73.14526716740,75.00000000000,940.00000000000
1233,68,santander,2,oriental,GAZ,U,7.07620734454,-73.07884688820,75.00000000000,932.00000000000
978,23,cordoba,1,atlantica,GAZ,R,8.70009882971,-75.67920762410,962.00000000000,106.00000000000
882,23,cordoba,1,atlantica,GAZ,U,8.57599240570,-75.96209865300,959.00000000000,109.00000000000
934,23,cordoba,1,atlantica,GAZ,U,9.00237019597,-75.36552604670,930.00000000000,80.00000000000
